Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AK,Alaska,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,565,12.6,11.2,13.9,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,02,BO1,CAT1,PERSDOC2,RESP053,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,152",34,31.9,36.1,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,02,BO1,CAT1,PERSDOC2,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,882",82.9,81,84.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,02,BO1,CAT1,_HCVU651,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,430,17.2,15.3,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,02,BO1,CAT1,_HCVU651,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"13,749",85.6,84.4,86.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,04,BO1,CAT1,HLTHPLN1,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,"1,053",14.4,13.3,15.6,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,04,BO1,CAT1,HLTHPLN1,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"11,568",65.9,64.5,67.3,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,04,BO1,CAT1,PERSDOC2,RESP050,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,941,6.2,5.5,6.8,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,04,BO1,CAT1,PERSDOC2,RESP053,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"2,278",27.9,26.6,29.3,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,04,BO1,CAT1,PERSDOC2,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,047",82.1,80.6,83.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,04,BO1,CAT1,_HCVU651,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AZ,Arizona,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,989,17.9,16.5,19.4,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,04,BO1,CAT1,_HCVU651,RESP054,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"4,782",83.7,81.9,85.6,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,05,BO1,CAT1,HLTHPLN1,RESP046,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,440,16.3,14.4,18.2,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,05,BO1,CAT1,HLTHPLN1,RESP054,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"4,269",73.2,71.1,75.3,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,05,BO1,CAT1,PERSDOC2,RESP050,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,357,4.6,3.9,5.4,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,05,BO1,CAT1,PERSDOC2,RESP053,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,609,22.2,20.1,24.2,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,05,BO1,CAT1,PERSDOC2,RESP054,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,386",79.8,77.5,82.1,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,05,BO1,CAT1,_HCVU651,RESP046,"(34.74865012400045, -92.27449074299966)"
2014,AR,Arkansas,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,392,20.2,17.9,22.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,05,BO1,CAT1,_HCVU651,RESP054,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"7,756",85.2,84.2,86.2,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,06,BO1,CAT1,HLTHPLN1,RESP046,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,"1,041",14.8,13.8,15.8,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,06,BO1,CAT1,HLTHPLN1,RESP054,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"6,258",68.3,67,69.6,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,06,BO1,CAT1,PERSDOC2,RESP050,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,556,6.2,5.5,6.8,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,06,BO1,CAT1,PERSDOC2,RESP053,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,971",25.5,24.3,26.7,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,06,BO1,CAT1,PERSDOC2,RESP054,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"5,443",82.2,81,83.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,06,BO1,CAT1,_HCVU651,RESP046,"(37.63864012300047, -120.99999953799971)"
2014,CA,California,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,004",17.8,16.6,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,06,BO1,CAT1,_HCVU651,RESP054,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"12,227",87.2,86.4,88.1,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,08,BO1,CAT1,HLTHPLN1,RESP046,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,"1,113",12.8,11.9,13.6,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,08,BO1,CAT1,HLTHPLN1,RESP054,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"10,174",68.8,67.7,69.9,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,08,BO1,CAT1,PERSDOC2,RESP050,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,949,7.4,6.8,7.9,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,08,BO1,CAT1,PERSDOC2,RESP053,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"2,236",23.8,22.8,24.9,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,08,BO1,CAT1,PERSDOC2,RESP054,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,803",84.7,83.7,85.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,08,BO1,CAT1,_HCVU651,RESP046,"(38.843840757000464, -106.13361092099967)"
2014,CO,Colorado,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,071",15.3,14.3,16.3,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,08,BO1,CAT1,_HCVU651,RESP054,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"7,505",91.3,90.3,92.4,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,09,BO1,CAT1,HLTHPLN1,RESP046,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,417,8.7,7.6,9.7,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,09,BO1,CAT1,HLTHPLN1,RESP054,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"6,538",77.8,76.4,79.1,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,09,BO1,CAT1,PERSDOC2,RESP050,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,523,6.5,5.6,7.3,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,09,BO1,CAT1,PERSDOC2,RESP053,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,867,15.8,14.6,17,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,09,BO1,CAT1,PERSDOC2,RESP054,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,748",89.5,88.2,90.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,09,BO1,CAT1,_HCVU651,RESP046,"(41.56266102000046, -72.64984095199964)"
2014,CT,Connecticut,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,384,10.6,9.3,11.8,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,09,BO1,CAT1,_HCVU651,RESP054,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"4,022",91.4,90.1,92.6,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,10,BO1,CAT1,HLTHPLN1,RESP046,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,265,8.7,7.4,9.9,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,10,BO1,CAT1,HLTHPLN1,RESP054,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"3,310",74.8,72.9,76.7,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,10,BO1,CAT1,PERSDOC2,RESP050,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,551,11.1,9.7,12.5,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,10,BO1,CAT1,PERSDOC2,RESP053,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,421,14.1,12.5,15.7,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,10,BO1,CAT1,PERSDOC2,RESP054,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,413",89.2,87.5,90.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,10,BO1,CAT1,_HCVU651,RESP046,"(39.008830667000495, -75.57774116799965)"
2014,DE,Delaware,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,252,10.8,9.2,12.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,10,BO1,CAT1,_HCVU651,RESP054,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"3,921",91.7,89.7,93.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,11,BO1,CAT1,HLTHPLN1,RESP046,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,139,8.3,6.3,10.3,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,11,BO1,CAT1,HLTHPLN1,RESP054,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"3,171",66.6,63.9,69.3,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,11,BO1,CAT1,PERSDOC2,RESP050,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,325,8.4,6.8,9.9,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,11,BO1,CAT1,PERSDOC2,RESP053,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,556,25.1,22.5,27.7,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,11,BO1,CAT1,PERSDOC2,RESP054,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,302",90.4,88.1,92.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,11,BO1,CAT1,_HCVU651,RESP046,"(38.89037138500049, -77.03196112699965)"
2014,DC,District of Columbia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,119,9.6,7.3,11.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,11,BO1,CAT1,_HCVU651,RESP054,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"8,761",82.4,81.2,83.6,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,12,BO1,CAT1,HLTHPLN1,RESP046,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,"1,012",17.6,16.4,18.8,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,12,BO1,CAT1,HLTHPLN1,RESP054,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"7,282",65.3,64,66.7,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,12,BO1,CAT1,PERSDOC2,RESP050,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,"1,014",10.5,9.7,11.3,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,12,BO1,CAT1,PERSDOC2,RESP053,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,459",24.2,22.9,25.5,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,12,BO1,CAT1,PERSDOC2,RESP054,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,475",77.2,75.7,78.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,12,BO1,CAT1,_HCVU651,RESP046,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,933,22.8,21.2,24.3,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,12,BO1,CAT1,_HCVU651,RESP054,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"5,563",79.1,77.5,80.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,13,BO1,CAT1,HLTHPLN1,RESP046,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,761,20.9,19.3,22.5,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,13,BO1,CAT1,HLTHPLN1,RESP054,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"4,759",65.2,63.5,66.9,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,13,BO1,CAT1,PERSDOC2,RESP050,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,484,6.3,5.6,7,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,13,BO1,CAT1,PERSDOC2,RESP053,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,084",28.5,26.9,30.2,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,13,BO1,CAT1,PERSDOC2,RESP054,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,338",75,73.1,76.9,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,13,BO1,CAT1,_HCVU651,RESP046,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,726,25,23.1,26.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,13,BO1,CAT1,_HCVU651,RESP054,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"6,697",91.9,91,92.9,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,15,BO1,CAT1,HLTHPLN1,RESP046,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,534,8.1,7.1,9,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,15,BO1,CAT1,HLTHPLN1,RESP054,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"4,613",63.5,61.9,65.1,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,15,BO1,CAT1,PERSDOC2,RESP050,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,"1,569",21.2,19.9,22.5,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,15,BO1,CAT1,PERSDOC2,RESP053,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,047",15.3,14.1,16.6,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,15,BO1,CAT1,PERSDOC2,RESP054,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,510",90.2,89,91.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,15,BO1,CAT1,_HCVU651,RESP046,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,493,9.8,8.6,11,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,15,BO1,CAT1,_HCVU651,RESP054,"(21.304850435000446, -157.85774940299973)"
